Date,Crude_Oil_NYMEX,SMR_20_US
1/6/2012,101.56,322.75
1/13/2012,98.7,332.5
1/20/2012,98.46,363.6
1/27/2012,99.56,374.3
2/3/2012,97.84,369.95
2/10/2012,98.67,369.05
2/17/2012,103.24,366.8
2/24/2012,109.77,376.6
3/2/2012,106.7,377.3
3/9/2012,107.4,373.95
3/16/2012,107.06,374.8
3/23/2012,106.87,367.3
3/30/2012,103.02,371.55
4/6/2012,103.31,368.4
4/13/2012,102.83,364.85
4/20/2012,103.05,359.5
4/27/2012,104.93,360.9
5/4/2012,98.49,360.3
5/11/2012,96.13,345
5/18/2012,91.48,326.25
5/25/2012,90.86,318.45
6/1/2012,83.23,311.15
6/8/2012,84.1,280.55
6/15/2012,84.03,286.05
6/22/2012,79.76,279.05
6/29/2012,84.96,276.45
7/6/2012,84.45,294.75
7/13/2012,87.1,287.95
7/20/2012,91.44,292.25
7/27/2012,90.13,282.9
8/3/2012,91.4,274.45
8/10/2012,92.87,261.75
8/17/2012,96.01,248.65
8/24/2012,96.15,252.8
8/31/2012,96.47,253.45
9/7/2012,96.42,254.15
9/14/2012,99,275.95
9/21/2012,92.89,286.35
9/28/2012,92.19,285.75
10/5/2012,89.88,307.35
10/12/2012,91.86,302.8
10/19/2012,90.05,293.55
10/26/2012,86.28,286.05
11/2/2012,84.86,283.55
11/9/2012,86.07,276.35
11/16/2012,86.67,277.9
11/23/2012,88.28,280.65
11/30/2012,88.91,279.5
12/7/2012,85.93,283.15
12/14/2012,86.73,285.85
12/21/2012,88.66,289.75
12/28/2012,90.8,296.15
1/4/2013,93.09,304.9
1/11/2013,93.56,309.8
1/18/2013,95.56,302.85
1/25/2013,95.88,303.25
2/1/2013,97.77,305.05
2/8/2013,95.72,310.15
2/15/2013,95.86,305.75
2/22/2013,93.13,292.4
3/1/2013,90.68,289
3/8/2013,91.95,288.4
3/15/2013,93.45,271.3
3/22/2013,93.71,275.85
3/29/2013,93.205,273.3
4/5/2013,92.7,257.5
4/12/2013,91.29,257.4
4/19/2013,88.01,234.4
4/26/2013,93,246
