Date,Feature_S,Feature_T,MAS1_2,MAS1_3,MAS1_4,MAS1_5,MAT_2,MAT_3,Match,MACD_S1,MACD_S12,MACD_T1,MACD_T2,MAa_1_S,MAa_2_S,MAa_1_T,MAa_2_T,BIAS3_S1,BIAS3_T,BIAS3_T2,BIAS3_T3,SMR_20_US
1/1/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Rise
1/8/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_0,BIAS_S_4_0,Rise
1/15/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_0,Rise
1/22/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Rise
1/29/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
2/5/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
2/12/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
2/19/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
2/26/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
3/5/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
3/12/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
3/19/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
3/26/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_1,MAC5_1,MAS2_0,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_0,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_0,BIAS_S_4_0,Rise
4/2/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
4/9/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
4/16/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
4/23/2010,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_1,Down
4/30/2010,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
5/7/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
5/14/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
5/21/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
5/28/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_1,MAaS4_0,MAaS2_0,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_0,Rise
6/4/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
6/11/2010,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_1,Down
6/18/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_0,BIAS_S_4_1,Rise
