Date,Crude_Oil_NYMEX,Feature,MA2,MA3,MA4,SMR_20_US
1/1/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_0,288.7125
1/8/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_0,294.35
1/15/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,303.6
1/22/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,304.1
1/29/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,291.9
2/5/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,291.05
2/12/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_0,MA4_0,296.8
2/19/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,303.75
2/26/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_1,MA4_1,308.5
3/5/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,313.25
3/12/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_1,MA4_1,318.35
3/19/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_1,MA4_1,313
3/26/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_1,315.1
4/2/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,323.55
4/9/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,332
4/16/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_1,MA4_1,334.35
4/23/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,331.15
4/30/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,317.1
5/7/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,288.95
5/14/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,282.95
5/21/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,270.3
5/28/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_0,MA4_0,280.875
6/4/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_0,MA4_0,291.45
6/11/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_1,MA4_1,284.75
6/18/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,288.2
6/25/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,292.05
7/2/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_1,289.2
7/9/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_1,293.6
7/16/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_0,MA4_0,285.9
7/23/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,286
7/30/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_1,MA4_1,290.85
8/6/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,302.65
8/13/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,301.4
8/20/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,311.8
8/27/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_0,319.2
9/3/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_0,MA4_0,331.65
9/10/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,333.025
9/17/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_1,334.4
9/24/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,341.45
10/1/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,347.25
10/8/2010,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_1,359.95
10/15/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_1,MA4_1,394.25
10/22/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_1,MA4_1,388.8
10/29/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_0,MA4_0,388.05
11/5/2010,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,410.95
11/12/2010,Crude_Oil_NYMEX_1,D,MA2_1,MA3_1,MA4_1,433.85
11/19/2010,Crude_Oil_NYMEX_1,D,MA2_0,MA3_1,MA4_0,427.15
11/26/2010,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_1,421.6
12/3/2010,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,429.8
12/10/2010,Crude_Oil_NYMEX_2,D,MA2_1,MA3_1,MA4_1,442.9
12/17/2010,Crude_Oil_NYMEX_2,R,MA2_0,MA3_1,MA4_1,457.5
12/24/2010,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,487.55
12/31/2010,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,497.15
1/7/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_1,MA4_1,506.75
1/14/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,522.2
1/21/2011,Crude_Oil_NYMEX_2,D,MA2_1,MA3_0,MA4_0,539.55
1/28/2011,Crude_Oil_NYMEX_2,R,MA2_0,MA3_1,MA4_0,540.9
2/4/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_1,553.3
2/11/2011,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,565.7
2/18/2011,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_0,571.65
2/25/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,534.75
3/4/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,515.2
3/11/2011,Crude_Oil_NYMEX_2,D,MA2_1,MA3_1,MA4_1,449.7
3/18/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_1,MA4_1,447.25
3/25/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,507.35
4/1/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,504.7
4/8/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,520.45
4/15/2011,Crude_Oil_NYMEX_2,D,MA2_1,MA3_1,MA4_1,510.05
4/22/2011,Crude_Oil_NYMEX_2,R,MA2_0,MA3_1,MA4_1,484.85
4/29/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,459.65
5/6/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_0,435.6
5/13/2011,Crude_Oil_NYMEX_2,R,MA2_0,MA3_0,MA4_0,438.45
5/20/2011,Crude_Oil_NYMEX_2,D,MA2_1,MA3_0,MA4_0,452.05
5/27/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_0,460.5
6/3/2011,Crude_Oil_NYMEX_2,D,MA2_1,MA3_1,MA4_1,462.2
6/10/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_0,461.85
6/17/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_0,456.45
6/24/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_0,436.75
7/1/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_0,MA4_0,436.1
7/8/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_0,452.4
7/15/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,451.25
7/22/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,461.75
7/29/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_1,469.65
8/5/2011,Crude_Oil_NYMEX_2,D,MA2_0,MA3_0,MA4_0,459.55
8/12/2011,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,461.3
8/19/2011,Crude_Oil_NYMEX_1,D,MA2_0,MA3_0,MA4_0,450.65
8/26/2011,Crude_Oil_NYMEX_1,R,MA2_0,MA3_0,MA4_0,454.85
9/2/2011,Crude_Oil_NYMEX_1,R,MA2_1,MA3_1,MA4_0,466.25
9/9/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,464.35
9/16/2011,Crude_Oil_NYMEX_2,R,MA2_1,MA3_1,MA4_1,453.35
